station_id,NOM_USUEL,LAT,LON,ALTI_x,date,PMERM,QPMERM,PMERMIN,QPMERMIN,INST,QINST,GLOT,QGLOT,SIGMA,QSIGMA,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,UM,QUM,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06,NEIG,QNEIG,BROU,QBROU,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ALTI_y,RR,QRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TNTXM,QTNTXM,TAMPLI,QTAMPLI,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,FFM,QFFM,FXY,QFXY,DXY,QDXY,HXY,QHXY,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXI3S,QFXI3S,QDXI3S,HXI3S,QHXI3S,CODE_STIF_TRNS_x,CODE_STIF_RES_x,LIBELLE_ARRET_x,lda,CATEGORIE_TITRE_x,NB_VALD_x,Rang,Réseau,station_name,traffic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,Year,JOUR,CODE_STIF_TRNS_y,CODE_STIF_RES_y,CODE_STIF_ARRET_x,LIBELLE_ARRET_y,ID_REFA_LDA_x,CATEGORIE_TITRE_y,NB_VALD_y,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET_y,LIBELLE_ARRET,ID_REFA_LDA_y,CAT_JOUR,TRNC_HORR_60,pourc_validations,Code postal arrondissement - Commune,Référence Chantier,start_date,end_date,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,disruption_category,disruption_effect,reseau,mode,probleme
75116008,LONGCHAMP,48.854833,2.233667,27.0,2023-01-03,,,,,17.0,9.0,248.0,9.0,3.0,9.0,85.0,1.0,1407.0,9.0,94.0,1.0,610.0,9.0,89.0,1.0,0.0,9.0,1440.0,9.0,9.9,9.0,0.8,9.0,0.7,9.0,,,,,,,,,,,,,,,27,1.8,1.0,6.5,1.0,2201.0,9.0,11.2,1.0,504.0,9.0,8.6,1.0,8.9,1.0,4.7,1.0,1.3,9.0,,,0.0,9.0,3.8,1.0,7.0,1.0,200.0,9.0,2336.0,9.0,13.9,1.0,190.0,9.0,2240.0,9.0,12.6,9.0,,2326.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75116,,,,,,,,,,,,,,,,,,0
75119001,BUTTES CHAUMONT,48.876833,2.380833,,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75119,,,,,,,,,,,,,,,,,,0
75106001,LUXEMBOURG,48.844667,2.333833,46.0,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.0,,,,,,,,,,,,,,,46,0.4,1.0,9.5,1.0,1801.0,9.0,14.3,1.0,1949.0,9.0,12.5,1.0,11.9,1.0,4.8,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75106,,,,,,,,,,,,,,,,,,0
75107005,TOUR EIFFEL,48.858333,2.2945,330.0,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,9.0,,,,,,,,,,,,,,,330,,,7.5,1.0,1802.0,9.0,12.2,1.0,1554.0,9.0,10.5,1.0,9.9,1.0,4.7,1.0,,,,,0.0,9.0,11.9,1.0,15.8,1.0,260.0,9.0,2307.0,9.0,23.2,1.0,210.0,1.0,7.0,9.0,21.0,9.0,,1552.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75107,,,,,,,,,,,,,,,,,,0
75110001,LARIBOISIERE,48.882833,2.352,55.0,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.0,,,,,,,,,,,,,,,55,2.4,1.0,9.9,1.0,1822.0,9.0,14.3,1.0,1920.0,9.0,12.7,1.0,12.1,1.0,4.4,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75110,,,,,,,,,,,,,,,,,,0
75112004,ST-ANTOINE,48.848167,2.380833,,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75112,,,,,,,,,,,,,,,,,,0
75114001,PARIS-MONTSOURIS,48.821667,2.337833,75.0,2023-01-04,1024.4,1.0,1023.2,1.0,0.0,9.0,68.0,9.0,0.0,9.0,84.0,1.0,2317.0,9.0,94.0,1.0,1401.0,9.0,90.0,1.0,0.0,9.0,1440.0,9.0,12.7,9.0,0.4,9.0,0.5,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,,,0.0,9.0,0.0,9.0,75,0.8,1.0,9.2,1.0,1827.0,9.0,13.6,1.0,1942.0,9.0,12.1,1.0,11.4,1.0,4.4,1.0,8.5,9.0,8.6,9.0,0.0,9.0,5.2,1.0,7.3,1.0,220.0,1.0,948.0,9.0,16.7,1.0,220.0,1.0,241.0,9.0,14.7,1.0,,241.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75.0,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.0,,,,,,,,,,,,,,,75,,,9.1,1.0,1853.0,9.0,13.7,1.0,1944.0,9.0,12.0,1.0,11.4,1.0,4.6,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75116008,LONGCHAMP,48.854833,2.233667,27.0,2023-01-04,,,,,0.0,9.0,123.0,9.0,0.0,9.0,83.0,1.0,2002.0,9.0,93.0,1.0,649.0,9.0,88.0,1.0,0.0,9.0,1440.0,9.0,12.8,9.0,0.6,9.0,0.6,9.0,,,,,,,,,,,,,,,27,0.2,1.0,9.9,1.0,1811.0,9.0,14.4,1.0,2001.0,9.0,12.6,1.0,12.2,1.0,4.5,1.0,8.9,9.0,,,0.0,9.0,4.4,1.0,7.0,1.0,210.0,1.0,8.0,9.0,13.6,1.0,220.0,1.0,10.0,9.0,11.9,9.0,,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75116,,,,,,,,,,,,,,,,,,0
75119001,BUTTES CHAUMONT,48.876833,2.380833,,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75119,,,,,,,,,,,,,,,,,,0
75106001,LUXEMBOURG,48.844667,2.333833,46.0,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,9.0,,,,,,,,,,,,,,,46,0.4,1.0,11.9,1.0,1724.0,9.0,14.1,1.0,1326.0,9.0,12.9,1.0,13.0,1.0,2.2,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75106,,,,,,,,,,,,,,,,,,0
75107005,TOUR EIFFEL,48.858333,2.2945,330.0,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,,330,,,9.3,1.0,1650.0,9.0,11.4,1.0,1338.0,9.0,10.5,1.0,10.4,1.0,2.1,1.0,,,,,0.0,9.0,9.0,1.0,14.9,1.0,270.0,1.0,54.0,9.0,18.9,1.0,280.0,1.0,51.0,9.0,18.5,9.0,,51.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75107,,,,,,,,,,,,,,,,,,0
75110001,LARIBOISIERE,48.882833,2.352,55.0,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,9.0,,,,,,,,,,,,,,,55,0.8,1.0,11.9,1.0,1711.0,9.0,14.0,1.0,1004.0,9.0,13.0,1.0,13.0,1.0,2.1,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75110,,,,,,,,,,,,,,,,,,0
75112004,ST-ANTOINE,48.848167,2.380833,,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75112,,,,,,,,,,,,,,,,,,0
75114001,PARIS-MONTSOURIS,48.821667,2.337833,75.0,2023-01-05,1024.9,1.0,1022.9,1.0,0.0,9.0,159.0,9.0,0.0,9.0,71.0,1.0,2011.0,9.0,90.0,1.0,1407.0,9.0,84.0,1.0,0.0,9.0,1300.0,9.0,12.2,9.0,1.1,9.0,1.2,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,,,0.0,9.0,0.0,9.0,75,0.2,1.0,11.8,1.0,1756.0,9.0,13.9,1.0,1123.0,9.0,12.6,1.0,12.9,1.0,2.1,1.0,10.7,9.0,11.4,9.0,0.0,9.0,3.0,1.0,4.7,1.0,260.0,1.0,1620.0,9.0,9.9,1.0,300.0,1.0,304.0,9.0,9.3,1.0,,310.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75.0,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,9.0,,,,,,,,,,,,,,,75,,,11.9,1.0,1652.0,9.0,13.8,1.0,1131.0,9.0,12.5,1.0,12.9,1.0,1.9,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75116008,LONGCHAMP,48.854833,2.233667,27.0,2023-01-05,,,,,0.0,9.0,152.0,9.0,0.0,9.0,73.0,1.0,2033.0,9.0,92.0,1.0,1701.0,9.0,84.0,1.0,0.0,9.0,1322.0,9.0,12.2,9.0,0.9,9.0,1.0,9.0,,,,,,,,,,,,,,,27,0.6,1.0,11.3,1.0,1705.0,9.0,13.8,1.0,1012.0,9.0,12.6,1.0,12.6,1.0,2.5,1.0,10.5,9.0,,,0.0,9.0,2.3,1.0,3.8,1.0,250.0,1.0,29.0,9.0,8.6,1.0,250.0,1.0,1551.0,9.0,7.6,9.0,,1551.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75116,,,,,,,,,,,,,,,,,,0
75119001,BUTTES CHAUMONT,48.876833,2.380833,,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75119,,,,,,,,,,,,,,,,,,0
