Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.9456985676, 2.02878814622;"{""coordinates"": [[2.028788146224398, 48.94569856763409]], ""type"": ""MultiPoint""}";78123;3550.296342;3617.20747;3700.988102;3729.813753;3703.434671;3599.09;3553.59;3523.71373197;3521.756514;3536.66929173;571;571;3255;3052;2540;2630;3733.40142872;3807.85571373
48.8783465669, 2.13603844577;"{""coordinates"": [[2.136038445766721, 48.878346566869375]], ""type"": ""MultiPoint""}";78190;2520.694211;2604.873356;2640.698278;2641.430736;2865.955833;2897.27;2928.02;3081.69888197;3163.778101;3219.01270716;595;595;1980;2320;2240;2435;3201.413715;3346.32825387
48.9110425886, 1.61828719033;"{""coordinates"": [[1.618287190331296, 48.911042588561216]], ""type"": ""MultiPoint""}";78192;88.515198;86.718694;88.948379;88.551735;89.815684;90.76;92.31;93.06372757;97.046061;101.62325595;596;596;110;119;104;130;88.47209418;101.48978487
48.8637137863, 1.94751453852;"{""coordinates"": [[1.947514538524527, 48.86371378633567]], ""type"": ""MultiPoint""}";78196;91.730141;85.511563;74.126618;68.551443;68.190398;67.58;59.61;62.10150356;61.698618;61.80425964;599;599;60;39;24;50;65.8884976;49.15435115
48.8673245925, 2.06004792764;"{""coordinates"": [[2.060047927640609, 48.867324592487655]], ""type"": ""MultiPoint""}";78224;540.477759;505.613605;482.907556;478.401529;461.490889;413.2;419.16;434.95332811;418.437924;519.12276036;606;606;395;486;508;525;546.90425672;533.06663125
48.9447139765, 1.64238642511;"{""coordinates"": [[1.642386425112666, 48.944713976475924]], ""type"": ""MultiPoint""}";78231;12.936986;22.788373;21.365824;21.037861;23.982945;25.02;18.65;19.72475259;20.635386;17.75606891;609;609;20;7;8;20;18.59061207;17.27860549
48.7566092968, 1.72488375128;"{""coordinates"": [[1.72488375128445, 48.75660929682687]], ""type"": ""MultiPoint""}";78264;4;3.996758;4;4.583333;4.791667;5;4.93;4.93055556;8.105263;7.61403509;623;623;13;9;0;0;7;8.71826469
48.8951431655, 1.74668663974;"{""coordinates"": [[1.746686639742802, 48.89514316552398]], ""type"": ""MultiPoint""}";78300;35.887823;44.888087;45.75007;40.803875;40.255539;38.68;30.67;36.87491376;44.836219;47.21971464;638;638;41;70;44;5;54.1150338;61.68372074
48.7407553194, 1.96593265949;"{""coordinates"": [[1.965932659492694, 48.74075531935268]], ""type"": ""MultiPoint""}";78397;1601.473329;1601.188551;1548.922569;1546.506799;1465.932775;1433.8;1384.64;1394.93230662;1399.67831;1491.04133177;680;680;1454;2196;1640;1365;1487.82563827;1507.3635825
49.0065246546, 1.91303788443;"{""coordinates"": [[1.913037884425913, 49.00652465463793]], ""type"": ""MultiPoint""}";78401;3210.048309;3328.668532;3335.41823;3256.559312;3213.470657;3164.26;3064.79;3040.02731567;3006.50473;2936.26405713;682;682;2972;3050;2584;2220;2920.39926479;2896.72659159
