Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC242615;75012;2022-01-31;2022-05-09;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;65.41;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;471444;163188;"{""coordinates"": [[[2.3715542229956768, 48.847936142397266], [2.3715670042854113, 48.84790615484128], [2.3713461700897853, 48.84779525069765], [2.371298488979607, 48.84780137478636], [2.3715542229956768, 48.847936142397266]]], ""type"": ""Polygon""}";48.847861771337115, 2.371444513251787
EC272268;75009;2022-04-04;2022-11-18;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;185.67;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;596214;180815;"{""coordinates"": [[[2.3271462497722917, 48.87717341276059], [2.3271509947895805, 48.877353875162626], [2.327273894203384, 48.87735274470952], [2.327274689445064, 48.8771709464566], [2.3271462497722917, 48.87717341276059]]], ""type"": ""Polygon""}";48.8772620766459, 2.327211522419229
EC258590;75011;2022-02-28;2022-10-07;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;69.11;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;536515;172703;"{""coordinates"": [[[2.384754596440071, 48.86478496690623], [2.3846711545152086, 48.86483735985565], [2.384740967561383, 48.86482861203766], [2.3848125069515294, 48.8648490153153], [2.384833416145087, 48.86483181946], [2.3848994768238083, 48.864848552191546], [2.3849120395359584, 48.86483677692557], [2.384906053877151, 48.86481762076631], [2.384797380176344, 48.86478564280213], [2.384754596440071, 48.86478496690623]]], ""type"": ""Polygon""}";48.86481768573824, 2.384802351029513
EC274867;75015;2022-04-19;2022-06-27;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;112.12;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;605473;182531;"{""coordinates"": [[[2.304245969769214, 48.847340520089205], [2.304217157339294, 48.847302215027284], [2.3039279765126883, 48.84738591485095], [2.303955903445691, 48.847425922719765], [2.304245969769214, 48.847340520089205]]], ""type"": ""Polygon""}";48.847363877397804, 2.30408603122976
EC291542;75013;2022-07-11;2022-09-05;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;17.67;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;675559;193007;"{""coordinates"": [[[2.3763002710814236, 48.82412138504615], [2.37640202120784, 48.82414802364818], [2.376413259413282, 48.824131081364534], [2.376312456355165, 48.82410201849871], [2.3763002710814236, 48.82412138504615]]], ""type"": ""Polygon""}";48.824125327809654, 2.376355947038473
EC292498;75011;2022-09-05;2022-10-07;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;78.91;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;680392;193675;"{""coordinates"": [[[2.3690796433392967, 48.854251968367436], [2.369197005907203, 48.85424752828366], [2.3691727349142844, 48.85416239811866], [2.3690622402768997, 48.854169405167625], [2.3690796433392967, 48.854251968367436]]], ""type"": ""Polygon""}";48.85420818599743, 2.369128325554647
EC294300;75017;2022-08-11;2022-08-12;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;731.39;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;686408;194632;"{""coordinates"": [[[2.281365482123305, 48.87718351718842], [2.2815503349111554, 48.87719555463128], [2.2818057512276066, 48.87709690781446], [2.2819248355386295, 48.87707212226543], [2.2823042550288024, 48.87699243250684], [2.2823663575430073, 48.87689444652953], [2.2821479186901437, 48.876914994437705], [2.2816379687735253, 48.87704854357503], [2.281365482123305, 48.87718351718842]]], ""type"": ""Polygon""}";48.87703909850501, 2.281891319602953
EC258736;75013;2022-01-05;2022-05-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;55.22;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;536793;172795;"{""coordinates"": [[[[2.3442027698973598, 48.81855893774644], [2.344251473905472, 48.81855191896131], [2.3442266089030337, 48.81846052764143], [2.344231333440798, 48.81848099651904], [2.3441789684821845, 48.8184775219062], [2.3442027698973598, 48.81855893774644]]], [[[2.3442213862505676, 48.818441330456544], [2.3442050062359954, 48.81838112318577], [2.344157330282628, 48.818388603578114], [2.344170455922687, 48.81844149991176], [2.3442213862505676, 48.818441330456544]]], [[[2.3442213862505676, 48.818441330456544], [2.3442266089030337, 48.81846052764143], [2.344222177570695, 48.81844132760143], [2.3442213862505676, 48.818441330456544]]]], ""type"": ""MultiPolygon""}";48.818473429426916, 2.344204575414335
EC302457;75008;2022-09-26;2022-10-10;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;14.71;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;725174;199967;"{""coordinates"": [[[[2.3182437513550065, 48.8748844658827], [2.3182502097788995, 48.874908324371226], [2.3183124485474416, 48.874900077535216], [2.3183073910400336, 48.87487626839754], [2.3182437513550065, 48.8748844658827]]], [[[2.3181240382607573, 48.87489288893727], [2.3181346214819087, 48.87489046344718], [2.3181309321963495, 48.874879311306316], [2.318109416182505, 48.87488222491483], [2.3181141012662185, 48.874893546408636], [2.318123857538217, 48.87489242564732], [2.3181240382607573, 48.87489288893727]]], [[[2.3182437513550065, 48.8748844658827], [2.3182436251875007, 48.874884001104924], [2.318186626119688, 48.87489182448222], [2.3182437513550065, 48.8748844658827]]], [[[2.3181253415831815, 48.874896229313784], [2.3181240382607573, 48.87489288893727], [2.3181238509099558, 48.87489293193772], [2.3181253415831815, 48.874896229313784]]], [[[2.3181253415831815, 48.874896229313784], [2.318126825640034, 48.874900032080994], [2.318186626119688, 48.87489182448222], [2.318126832256494, 48.87489952668987], [2.3181253415831815, 48.874896229313784]]]], ""type"": ""MultiPolygon""}";48.87489144776475, 2.3182551188152303
EC250919;75011;2021-12-01;2022-03-03;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;94.8;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;503243;168208;"{""coordinates"": [[[2.3814413096993206, 48.86838869500707], [2.381492297777434, 48.86839624404663], [2.3817388287182553, 48.86821218557886], [2.381724712678241, 48.86818023738703], [2.3814413096993206, 48.86838869500707]]], ""type"": ""Polygon""}";48.86829521060445, 2.3815974660675074
