Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
179;Métro;GONCOURT;3003253;11;;;;;Paris;11
287;Métro;SAINT-GEORGES;1274798;12;;;;;Paris;9
52;Métro;SAINT-PAUL;6293063;1;;;;;Paris;4
61;Métro;CRIMEE;5999504;7;;;;;Paris;19
53;Métro;SAINT-MANDE-TOURELLE;6234125;1;;;;;Saint Mandé;
31;Métro;BOBIGNY-PABLO PICASSO;7904705;5;;;;;Bobigny;
40;Métro;STALINGRAD;7226584;2;5;7;;;Paris;19
43;Métro;MADELEINE;7089433;8;12;14;;;Paris;8
28;Métro;BIR-HAKEIM;8172283;6;;;;;Paris;15
148;Métro;DUROC;3584770;10;13;;;;Paris;7
174;Métro;QUAI DE LA GARE;3114195;6;;;;;Paris;13
205;Métro;COURCELLES;2626896;2;;;;;Paris;17
185;Métro;ARGENTINE;2950929;1;;;;;Paris;17
231;Métro;LES AGNETTES;2308871;13;;;;;Asnières sur Seine;
303;Métro;EGLISE D'AUTEUIL;177017;10;;;;;Paris;16
22;RER;SAINT-GERMAIN-EN-LAYE;4545802;A;;;;;Saint-Germain-en-Laye;
35;RER;BUSSY-SAINT-GEORGES;3155213;A;;;;;Bussy-Saint-Georges;
260;Métro;FELIX FAURE;1829591;8;;;;;Paris;15
13;Métro;BELLEVILLE;11595446;2;11;;;;Paris;10
63;Métro;BERCY;5909077;6;14;;;;Paris;12
46;Métro;VILLEJUIF-LOUIS ARAGON;6931264;7;;;;;Villejuif;
120;Métro;RAMBUTEAU;4047914;11;;;;;Paris;3
243;Métro;MICHEL-ANGE-AUTEUIL;2162365;9;10;;;;Paris;16
255;Métro;MAISON BLANCHE;1961665;7;;;;;Paris;13
217;Métro;SAINT-JACQUES;2484204;6;;;;;Paris;13
227;Métro;RUE DU BAC;2370918;12;;;;;Paris;7
247;Métro;JASMIN;2076285;9;;;;;Paris;16
31;RER;ARCUEIL-CACHAN;3550212;B;;;;;Arcueil;
168;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3189981;10;;;;;Boulogne Billancourt;
17;RER;LUXEMBOURG;5805371;B;;;;;Paris;5
7;RER;MASSY-PALAISEAU;9145481;B;;;;;Massy;
133;Métro;VICTOR HUGO;3877660;2;;;;;Paris;16
18;Métro;STRASBOURG-SAINT-DENIS;10601066;4;8;9;;;Paris;2
134;Métro;EGLISE DE PANTIN;3876643;5;;;;;Pantin;
2;RER;GARE DE LYON-RER;39505911;A;;;;;Paris;12
290;Métro;KLEBER;1239886;6;;;;;Paris;16
138;Métro;PORTE DE SAINT-OUEN;3736385;13;;;;;Paris;17
234;Métro;VOLONTAIRES;2294691;12;;;;;Paris;15
226;Métro;TELEGRAPHE;2381268;11;;;;;Paris;20
52;RER;LE VESINET-CENTRE;1301615;A;;;;;Le Vésinet;
49;Métro;PORTE D'ORLEANS;6702371;4;;;;;Paris;14
47;Métro;LA CHAPELLE;6841948;2;;;;;Paris;9
64;Métro;LA COURNEUVE-8 MAI 1945;5870527;7;;;;;La Courneuve;
70;Métro;CHATEAU DE VINCENNES;5539169;1;;;;;Vincennes;
36;Métro;CHATILLON-MONTROUGE;7349354;13;;;;;Chatillon;
96;Métro;PORTE DE MONTREUIL;4731789;9;;;;;Paris;20
20;RER;NOISY-CHAMPS;5300935;A;;;;;Champs-sur-Marne;
17;Métro;FRANKLIN D. ROOSEVELT;10699637;1;9;;;;Paris;8
54;Métro;JAURES;6226202;2;5;7bis;;;Paris;19
143;Métro;GARIBALDI;3625630;13;;;;;Saint Ouen;
286;Métro;CAMPO-FORMIO;1297695;5;;;;;Paris;13
285;Métro;MIRABEAU;1346258;10;;;;;Paris;16
