Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
60;Métro;PORTE DE VERSAILLES;5938320;12;;;;;Paris;15
85;Métro;PONT DE LEVALLOIS-BECON;4969844;3;;;;;Levallois-Perret;
170;Métro;PLACE DES FETES;3130045;7bis;11;;;;Paris;19
176;Métro;PORTE DE CHOISY;3073748;7;;;;;Paris;13
190;Métro;COMMERCE;2890759;8;;;;;Paris;15
202;Métro;TUILERIES;2607243;1;;;;;Paris;1
221;Métro;IENA;2374498;9;;;;;Paris;16
227;Métro;SOLFERINO;2342976;12;;;;;Paris;7
23;RER;BOURG-LA-REINE;4189127;B;;;;;Bourg la Reine;
39;RER;BOISSY-SAINT-LEGER;2349546;A;;;;;Boissy-Saint-Léger;
52;RER;LE VESINET-CENTRE;1210783;A;;;;;Le Vésinet;
66;RER;LA HACQUINIERE;434450;B;;;;;Bures sur Yvette;
