identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
520351;48.964359, 2.882846;Lundi;36 rue du Grand Cerf;77100;Meaux;Le Malakoff
520562;48.860773, 2.385278;Dimanche;10 rue Jean-Pierre Timbaud;75011;Paris;Tabac l' Estaminet
520588;48.956737, 2.375803;;1 rue Carnot;93240;Stains;Tabac de la Mairie
520608;48.855626, 2.357026;;42 Bd Henri IV;75004;Paris;Le week-end
520613;48.38418, 2.229898;Dimanche;10 Av. du Val de Fontenay;91150;Fontenay-sous-Bois;Tabac Le Val
530256;48.866625, 2.351731;;46 rue des Petits-Champs;75002;Paris;Le Ventadour
530310;48.804452, 2.351878;Samedi;28 Av. Eugène Thomas;94270;Le Kremlin-Bicêtre;Tabac Brazza
530356;48.714472, 2.363619;;19-21 Bd de Fontainebleau;91550;Paray-Vieille-Poste;Le Concorde
530483;48.849498, 2.347052;;137 Bd St-Michel;75005;Paris;Civette St Michel
530551;48.831735, 2.367073;;89 rue de la Glacière;75013;Paris;Tabac de la Glacière
540002;48.850335, 2.446414;Mercredi;170 Av. de Paris;94300;Vincennes;Tabac de la Tourelle
510011;48.892534, 2.281958;Samedi;117 rue Victor Hugo;92300;Levallois-Perret;Le Tom Tip
510079;48.875598, 2.194162;Dimanche;103 Av. Paul Doumer;92500;Rueil-Malmaison;Le Tabalire
510268;48.853806, 2.293985;Dimanche;60 rue du Théâtre;75015;Paris;Le Disque Bleu
510485;48.842339, 2.192614;Dimanche;4 rue Athime Rué;92380;Garches;Les Arcades
510537;48.875598, 2.194162;;67 Av. du 18 Juin 1940;92500;Rueil-Malmaison;Tabac Beauregard
510553;48.875598, 2.194162;Dimanche;115 Av. Albert 1er;92500;Rueil-Malmaison;Le Napoléon 1er
510599;48.927283, 2.19863;;33 Bd Henri Barbusse;78800;Houilles;Tabac des Blanches
510622;48.884769, 2.335947;;104 Av. de Saint-Ouen;75018;Paris;Le Celtic
510635;48.926672, 2.261993;Dimanche;16 Bd de Finlande;92700;Colombes;Le Chiquito
520346;48.909659, 2.434088;;63 Av. Louis Aragon;93000;Bobigny;Le Belwo
520401;48.909659, 2.434088;Dimanche;90 Bd  Maurice Thorez;93000;Bobigny;Civette de Bobigny
520455;48.915483, 2.467763;Dimanche;1 Bd  Paul Vaillant Couturier;93700;Drancy;Le Celtique
520605;48.86853, 2.419924;Dimanche;24 rue Girardot;93170;Bagnolet;Le Shelby
520606;48.854294, 2.438276;Dimanche;246 Bd  Aristide Briand;93100;Montreuil;Le Dragon de Havane
520650;48.85812, 2.512732;;13 Bd  Gallieni;93360;Neuilly-Plaisance;Le Grand Paris
530285;48.839047, 2.332933;;81 rue de la Tombe Issoire;75014;Paris;Le Rallye
530315;48.779411, 2.318471;;56 Av. du Gén Leclerc;92340;Bourg-la-Reine;Le Commerce
530385;48.771928, 2.380104;Dimanche;148 Av. Mar. de Lattre de Tassigny;94320;Thiais;Les Tilleuls
530506;48.831735, 2.367073;;45 Av. d' Italie;75013;Paris;Le Tabaclub
530547;48.801869, 2.475841;Dimanche;9 rue Bobillot;94100;Saint-Maur-des-Fossés;Tabac du Marché
530581;48.721688, 2.285249;Mercredi;48 rue Gabriel Péri;91300;Massy;Royal Massy
510182;48.853806, 2.293985;Dimanche;20 rue Cauchy;75015;Paris;Le Comptoir du Parc
510251;48.875598, 2.194162;Jeudi;92 rue Danton;92500;Rueil-Malmaison;Le Marigny
510299;48.904633, 2.338298;Dimanche;169 rue du Dr Bauer;93400;Saint-Ouen;Le Sénioritas
510477;48.913623, 2.292275;Dimanche;1 Pl. des Victoires;92600;Asnières-sur-Seine;Tabac des Victoires
510479;48.884769, 2.335947;;79 Bd Barbes;75018;Paris;Le Rallye
510638;48.880008, 2.203497;;27 rue de la Paix;92000;Nanterre;La Cave à Cigares
520164;48.999638, 2.374782;Dimanche;3 Pl. Bloch Lainé;95200;Sarcelles;Le Bloch Lainé
520565;48.880472, 2.488725;Dimanche;31 rue Philibert Hoffmann;93110;Rosny-sous-Bois;La Tabatière
520622;48.842835, 2.570692;Mardi;15 rue du Marché;93160;Noisy-le-Grand;Tabac du Marché
520644;48.842835, 2.570692;;140 rue Pierre Brossolette;93160;Noisy-le-Grand;Le Brazza
530152;48.831735, 2.367073;Dimanche;156 rue de Tolbiac;75013;Paris;Tabac - Presse
530448;48.849498, 2.347052;Dimanche;66 rue Claude Bernard;75005;Paris;Les Oliviers
