Réseau,Station,Trafic,Ville,Arrondissement pour Paris,Year,ArRGeopoint
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.897458274913426, 2.3596024948473673"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.8968814366151, 2.3593640731992553"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.831919974040794, 2.2378911010380254"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83190046016309, 2.2376516209816386"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83228510681211, 2.2387358462036877"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83183051283575, 2.237965973200589"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83179428049753, 2.237925633845432"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.8196098517099, 2.3594554533818"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.81950069272502, 2.3592252610653897"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819034286073844, 2.359462523882543"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819106596544934, 2.3595297331071694"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819064255526236, 2.360020554838151"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.81898404540706, 2.3601577339943094"
Métro,lourmel,2483440,Paris,15.0,2013,"48.838933513300134, 2.2827150731334624"
Métro,lourmel,2483440,Paris,15.0,2013,"48.83878553900577, 2.282035871598574"
Métro,lourmel,2483440,Paris,15.0,2013,"48.838660863646226, 2.2822419598550767"
Métro,varenne,1538258,Paris,7.0,2013,"48.85662420263328, 2.3149776470363417"
Métro,varenne,1538258,Paris,7.0,2013,"48.85662498273289, 2.3151139305096566"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84272854474405, 2.2605072822340513"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84303506215241, 2.260625566190178"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84258027626282, 2.2598008451443454"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84262446524624, 2.2596748602119496"
Métro,exelmans,2060188,Paris,16.0,2013,"48.78000710450438, 2.199486539236909"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84342990858325, 2.2604837044903947"
RER,sceaux,680371,sceaux,,2013,"48.78137621798188, 2.2977726944378065"
RER,sceaux,680371,sceaux,,2013,"48.78123799899791, 2.2979752976870085"
RER,sceaux,680371,sceaux,,2013,"48.78128360590276, 2.29808356188193"
Métro,philippe auguste,1876528,Paris,11.0,2013,"48.8581751212472, 2.3905477055525735"
Métro,philippe auguste,1876528,Paris,11.0,2013,"48.85808942812209, 2.3904975967452886"
Métro,philippe auguste,1876528,Paris,11.0,2013,"48.85785710469247, 2.389910834791058"
Métro,philippe auguste,1876528,Paris,11.0,2013,"48.857902903036084, 2.3900738537306827"
Métro,chevaleret,3058367,Paris,13.0,2013,"48.83494516787452, 2.368095123772669"
Métro,chevaleret,3058367,Paris,13.0,2013,"48.834868902139064, 2.3672786317867103"
Métro,chevaleret,3058367,Paris,13.0,2013,"48.834963082095456, 2.3680812829727427"
Métro,chevaleret,3058367,Paris,13.0,2013,"48.834755952980906, 2.3680292996484056"
Métro,saint-georges,1279016,Paris,9.0,2013,"48.87855881819219, 2.337268859632959"
Métro,saint-georges,1279016,Paris,9.0,2013,"48.87841659488811, 2.3375706403796697"
Métro,saint-georges,1279016,Paris,9.0,2013,"48.878184066571976, 2.3378053926529634"
Métro,saint-georges,1279016,Paris,9.0,2013,"48.878361992745866, 2.337454619040091"
Métro,felix faure,1895590,Paris,15.0,2013,"48.914862859257134, 2.2543928430989535"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.87137404896983, 2.404162721067785"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.565056720836616, 2.5425691470926464"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.56509301466546, 2.542650149910595"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.87184337220934, 2.4044981831688688"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.87220389908137, 2.4046576612364894"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.87188765806338, 2.404361344448241"
Métro,saint-fargeau,884413,Paris,8.0,2013,"48.87232019552882, 2.4045336318095907"
Métro,oberkampf,4167444,Paris,11.0,2013,"48.86477709850769, 2.368155845394551"
Métro,oberkampf,4167444,Paris,11.0,2013,"48.86464456515162, 2.368604562580775"
Métro,oberkampf,4167444,Paris,11.0,2013,"48.86487188758151, 2.368223670880745"
Métro,oberkampf,4167444,Paris,11.0,2013,"48.86458119805383, 2.3685262686038393"
RER,luxembourg,5495050,Paris,5.0,2013,"48.846571570657915, 2.3409869367426044"
RER,luxembourg,5495050,Paris,5.0,2013,"48.84762036928977, 2.340360459632723"
RER,luxembourg,5495050,Paris,5.0,2013,"48.84571213019154, 2.340071203980298"
RER,luxembourg,5495050,Paris,5.0,2013,"48.98414666098655, 2.3183794130700104"
RER,luxembourg,5495050,Paris,5.0,2013,"48.84594752576119, 2.3403543805709766"
RER,luxembourg,5495050,Paris,5.0,2013,"48.845359599511006, 2.3397486346734215"
RER,luxembourg,5495050,Paris,5.0,2013,"48.847501882684796, 2.340075793473293"
RER,luxembourg,5495050,Paris,5.0,2013,"48.847232769969864, 2.3402018432423444"
RER,luxembourg,5495050,Paris,5.0,2013,"48.846351007586634, 2.34013124702948"
RER,luxembourg,5495050,Paris,5.0,2013,"48.846489733077476, 2.3408244514166276"
RER,luxembourg,5495050,Paris,5.0,2013,"48.84550363766169, 2.339774062692854"
RER,luxembourg,5495050,Paris,5.0,2013,"48.845486178015825, 2.339869668847298"
RER,lognes,1563151,Lognes,,2013,"48.83922624887297, 2.633082365443447"
RER,lognes,1563151,Lognes,,2013,"48.83928428285672, 2.632944349732162"
RER,lognes,1563151,Lognes,,2013,"48.83927129870922, 2.633109297252498"
Métro,miromesnil,5916541,Paris,8.0,2013,"48.87344791578158, 2.316010693121024"
Métro,miromesnil,5916541,Paris,8.0,2013,"48.87377284921918, 2.3146430401104463"
Métro,miromesnil,5916541,Paris,8.0,2013,"48.87344757301146, 2.3159507090192264"
Métro,miromesnil,5916541,Paris,8.0,2013,"48.87369210196551, 2.3146768238242683"
Métro,gambetta,7445691,Paris,20.0,2013,"48.89210415949381, 2.243425865230165"
Métro,gambetta,7445691,Paris,20.0,2013,"48.66133086098637, 2.556323829233557"
Métro,gambetta,7445691,Paris,20.0,2013,"48.81462724252509, 2.4028909495744215"
Métro,gambetta,7445691,Paris,20.0,2013,"48.917455879944534, 2.522852413481607"
Métro,gambetta,7445691,Paris,20.0,2013,"48.91812453159315, 2.5236513503162885"
Métro,gambetta,7445691,Paris,20.0,2013,"48.88526818256394, 2.7337769070363698"
Métro,gambetta,7445691,Paris,20.0,2013,"48.86503256445036, 2.398537305704572"
Métro,gambetta,7445691,Paris,20.0,2013,"48.86501039725967, 2.3977060431935087"
Métro,gambetta,7445691,Paris,20.0,2013,"48.813964410189705, 3.0865814233253768"
Métro,gambetta,7445691,Paris,20.0,2013,"48.864839052337366, 2.3976126043518535"
Métro,gambetta,7445691,Paris,20.0,2013,"48.84791474262583, 2.241328360018061"
Métro,gambetta,7445691,Paris,20.0,2013,"48.93136836228384, 2.0456369386489004"
Métro,gambetta,7445691,Paris,20.0,2013,"48.975160961311964, 2.2487603921078336"
Métro,gambetta,7445691,Paris,20.0,2013,"48.692512173313595, 2.612075340265727"
Métro,gambetta,7445691,Paris,20.0,2013,"48.63627913296578, 2.229589534113939"
Métro,gambetta,7445691,Paris,20.0,2013,"48.980488340512, 2.313932642502504"
Métro,gambetta,7445691,Paris,20.0,2013,"48.84856300625857, 2.241441568605382"
Métro,gambetta,7445691,Paris,20.0,2013,"48.915111857390464, 2.5281815847192353"
Métro,gambetta,7445691,Paris,20.0,2013,"48.53749482947405, 2.661039761062444"
Métro,gambetta,7445691,Paris,20.0,2013,"48.86488271294277, 2.3973531025635375"
Métro,gambetta,7445691,Paris,20.0,2013,"48.864972676056084, 2.397358877566647"
Métro,gambetta,7445691,Paris,20.0,2013,"48.86503256445036, 2.398537305704572"
Métro,gambetta,7445691,Paris,20.0,2013,"48.98029044178933, 2.3139215930207193"
Métro,gambetta,7445691,Paris,20.0,2013,"49.035682653198485, 1.5819968180727402"
Métro,gambetta,7445691,Paris,20.0,2013,"48.84840078919971, 2.2413894205535705"
Métro,gambetta,7445691,Paris,20.0,2013,"48.78473743834749, 2.2935183728356203"
Métro,gambetta,7445691,Paris,20.0,2013,"48.89700750552024, 2.163928156039039"
Métro,gambetta,7445691,Paris,20.0,2013,"48.97504842862534, 2.2494587053335167"
Métro,gambetta,7445691,Paris,20.0,2013,"48.96287286140575, 2.8850514371424065"
Métro,gambetta,7445691,Paris,20.0,2013,"48.814483145856386, 2.402851744823981"
Métro,gambetta,7445691,Paris,20.0,2013,"48.81460905402884, 2.4010526914147508"
Métro,gambetta,7445691,Paris,20.0,2013,"48.894233447864586, 2.5132724663625194"
Métro,gambetta,7445691,Paris,20.0,2013,"48.89519783041194, 2.51379538004633"
Métro,gambetta,7445691,Paris,20.0,2013,"48.813721505472444, 3.0866899612868584"
Métro,gambetta,7445691,Paris,20.0,2013,"48.85107277929186, 2.4623673428700927"
Métro,gambetta,7445691,Paris,20.0,2013,"48.99094409712317, 1.915133037481376"
Métro,gambetta,7445691,Paris,20.0,2013,"49.00555687206369, 1.9150602310074623"
Métro,gambetta,7445691,Paris,20.0,2013,"48.81406632423072, 2.402230083992655"
Métro,gambetta,7445691,Paris,20.0,2013,"48.887889951160155, 2.1997236990148403"
Métro,gambetta,7445691,Paris,20.0,2013,"48.64439168848454, 1.8296025980968387"
Métro,gambetta,7445691,Paris,20.0,2013,"48.63626298657244, 2.2298747862170263"
Métro,gambetta,7445691,Paris,20.0,2013,"49.03572281178954, 1.5823513510983842"
Métro,gambetta,7445691,Paris,20.0,2013,"48.89341709154416, 2.4612345190197433"
Métro,gambetta,7445691,Paris,20.0,2013,"48.785069229257374, 2.293350551869822"
Métro,gambetta,7445691,Paris,20.0,2013,"48.914659755457976, 2.5275580455680244"
Métro,gambetta,7445691,Paris,20.0,2013,"48.661251778537505, 2.5568268921592643"
Métro,gambetta,7445691,Paris,20.0,2013,"49.005599232877714, 1.914772292376714"
Métro,gambetta,7445691,Paris,20.0,2013,"48.81409391679699, 2.402352330914856"
Métro,gambetta,7445691,Paris,20.0,2013,"49.00400920205285, 2.8297025304921917"
Métro,gambetta,7445691,Paris,20.0,2013,"49.00408123470165, 2.8297706322304865"
Métro,voltaire,5341865,Paris,11.0,2013,"48.781452619375195, 2.237599284310538"
Métro,voltaire,5341865,Paris,11.0,2013,"48.819892022388515, 1.9134516699876671"
Métro,voltaire,5341865,Paris,11.0,2013,"49.01958081072447, 2.206390051878155"
Métro,voltaire,5341865,Paris,11.0,2013,"48.9387249190553, 2.170096854004133"
Métro,voltaire,5341865,Paris,11.0,2013,"48.91404553985123, 2.4316995169692572"
Métro,voltaire,5341865,Paris,11.0,2013,"48.9182968943414, 2.026117221236139"
Métro,voltaire,5341865,Paris,11.0,2013,"48.79041802910476, 2.5080204082650717"
Métro,voltaire,5341865,Paris,11.0,2013,"48.87744122791492, 2.198629834035962"
Métro,voltaire,5341865,Paris,11.0,2013,"48.87701396312866, 2.199290883359993"
Métro,voltaire,5341865,Paris,11.0,2013,"48.69344320230192, 2.1488689118343265"
Métro,voltaire,5341865,Paris,11.0,2013,"48.91429493098431, 2.433088513743978"
Métro,voltaire,5341865,Paris,11.0,2013,"48.39869881036755, 2.9514039942577774"
Métro,voltaire,5341865,Paris,11.0,2013,"48.87771971722298, 2.239953375647318"
Métro,voltaire,5341865,Paris,11.0,2013,"48.89919999123511, 2.1951575250440656"
Métro,voltaire,5341865,Paris,11.0,2013,"48.81586604557053, 2.538476319924739"
Métro,voltaire,5341865,Paris,11.0,2013,"49.01951660560092, 2.2061996209130545"
Métro,voltaire,5341865,Paris,11.0,2013,"48.999505150240644, 2.415430709742587"
Métro,voltaire,5341865,Paris,11.0,2013,"48.90004417591983, 2.194980782131957"
Métro,voltaire,5341865,Paris,11.0,2013,"48.93875767294209, 2.1696321929237525"
Métro,voltaire,5341865,Paris,11.0,2013,"48.81984737324466, 1.9135336971130716"
Métro,voltaire,5341865,Paris,11.0,2013,"49.00100956977534, 2.414142740803397"
Métro,voltaire,5341865,Paris,11.0,2013,"48.39853682133754, 2.95128255298444"
Métro,voltaire,5341865,Paris,11.0,2013,"48.99359737145144, 2.2813317373963136"
Métro,voltaire,5341865,Paris,11.0,2013,"48.815424002501715, 2.5381261557454744"
Métro,voltaire,5341865,Paris,11.0,2013,"48.857662434372344, 2.3800316941488044"
Métro,voltaire,5341865,Paris,11.0,2013,"48.993630718598034, 2.280893984658206"
Métro,voltaire,5341865,Paris,11.0,2013,"48.85773529553979, 2.3802080115879223"
Métro,voltaire,5341865,Paris,11.0,2013,"48.958914861883656, 2.594413899861512"
Métro,voltaire,5341865,Paris,11.0,2013,"48.95899588678548, 2.594441262386722"
Métro,voltaire,5341865,Paris,11.0,2013,"48.693436147004995, 2.149140768724815"
Métro,voltaire,5341865,Paris,11.0,2013,"48.87702793436954, 2.1986907329366443"
Métro,voltaire,5341865,Paris,11.0,2013,"48.79077356456133, 2.5069961614389267"
Métro,anvers,6888848,Paris,18.0,2013,"48.882868568830325, 2.344154840330291"
Métro,anvers,6888848,Paris,18.0,2013,"48.882868568830325, 2.344154840330291"
Métro,hoche,5046958,Pantin,,2013,"48.886447227769274, 2.447383264826056"
Métro,hoche,5046958,Pantin,,2013,"48.847436262941926, 2.486210807689967"
Métro,hoche,5046958,Pantin,,2013,"48.86478480392296, 2.4382347004838367"
Métro,hoche,5046958,Pantin,,2013,"48.899035693091506, 2.200166189896786"
Métro,hoche,5046958,Pantin,,2013,"48.88641665962882, 2.446606280701159"
Métro,hoche,5046958,Pantin,,2013,"48.89128939385119, 2.4032119887626737"
