JOUR,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET,LIBELLE_ARRET,ID_REFA_LDA,CATEGORIE_TITRE,NB_VALD,date
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,NAVIGO,2368,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,NAVIGO JOUR,50,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,NON DEFINI,180,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,TST,153,2022
20/12/2022,100,110,533,MENILMONTANT,71815,?,305,2022
20/12/2022,100,110,533,MENILMONTANT,71815,AMETHYSTE,784,2022
20/12/2022,100,110,533,MENILMONTANT,71815,AUTRE TITRE,841,2022
20/12/2022,100,110,533,MENILMONTANT,71815,FGT,435,2022
20/12/2022,100,110,533,MENILMONTANT,71815,IMAGINE R,1303,2022
20/12/2022,100,110,533,MENILMONTANT,71815,NAVIGO,4394,2022
20/12/2022,100,110,533,MENILMONTANT,71815,NAVIGO JOUR,9,2022
20/12/2022,100,110,533,MENILMONTANT,71815,NON DEFINI,249,2022
20/12/2022,100,110,533,MENILMONTANT,71815,TST,927,2022
20/12/2022,100,110,54,BASTILLE,71743,?,293,2022
20/12/2022,100,110,54,BASTILLE,71743,AMETHYSTE,639,2022
20/12/2022,100,110,54,BASTILLE,71743,AUTRE TITRE,4106,2022
20/12/2022,100,110,54,BASTILLE,71743,FGT,556,2022
20/12/2022,100,110,54,BASTILLE,71743,IMAGINE R,5272,2022
20/12/2022,100,110,54,BASTILLE,71743,NAVIGO,15181,2022
20/12/2022,100,110,54,BASTILLE,71743,NAVIGO JOUR,105,2022
20/12/2022,100,110,54,BASTILLE,71743,NON DEFINI,1207,2022
20/12/2022,100,110,54,BASTILLE,71743,TST,1000,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,?,119,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,AMETHYSTE,146,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,AUTRE TITRE,866,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,FGT,113,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,IMAGINE R,934,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,NAVIGO,2984,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,NAVIGO JOUR,7,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,NON DEFINI,164,2022
20/12/2022,100,110,542,M.ANGE-AUTEUIL,71206,TST,295,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,?,47,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,AMETHYSTE,114,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,AUTRE TITRE,947,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,FGT,75,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,IMAGINE R,948,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,NAVIGO,2388,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,NAVIGO JOUR,12,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,NON DEFINI,127,2022
20/12/2022,100,110,544,M.ANGE-MOLITOR,73658,TST,169,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,?,56,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,AMETHYSTE,188,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,AUTRE TITRE,680,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,FGT,111,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,IMAGINE R,778,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,NAVIGO,2682,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,NAVIGO JOUR,15,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,NON DEFINI,214,2022
20/12/2022,100,110,546,MICHEL BIZOT,71595,TST,242,2022
20/12/2022,100,110,547,MIRABEAU,71150,?,61,2022
20/12/2022,100,110,547,MIRABEAU,71150,AMETHYSTE,110,2022
20/12/2022,100,110,547,MIRABEAU,71150,AUTRE TITRE,623,2022
20/12/2022,100,110,547,MIRABEAU,71150,FGT,63,2022
20/12/2022,100,110,547,MIRABEAU,71150,IMAGINE R,643,2022
20/12/2022,100,110,547,MIRABEAU,71150,NAVIGO,1613,2022
20/12/2022,100,110,547,MIRABEAU,71150,NAVIGO JOUR,5,2022
20/12/2022,100,110,547,MIRABEAU,71150,NON DEFINI,135,2022
20/12/2022,100,110,547,MIRABEAU,71150,TST,144,2022
20/12/2022,100,110,548,MIROMESNIL,71346,?,208,2022
20/12/2022,100,110,548,MIROMESNIL,71346,AMETHYSTE,153,2022
20/12/2022,100,110,548,MIROMESNIL,71346,AUTRE TITRE,2001,2022
20/12/2022,100,110,548,MIROMESNIL,71346,FGT,209,2022
20/12/2022,100,110,548,MIROMESNIL,71346,IMAGINE R,2514,2022
20/12/2022,100,110,548,MIROMESNIL,71346,NAVIGO,11545,2022
20/12/2022,100,110,548,MIROMESNIL,71346,NAVIGO JOUR,30,2022
20/12/2022,100,110,548,MIROMESNIL,71346,NON DEFINI,539,2022
20/12/2022,100,110,548,MIROMESNIL,71346,TST,612,2022
20/12/2022,100,110,552,MONCEAU,73671,?,58,2022
20/12/2022,100,110,552,MONCEAU,73671,AMETHYSTE,62,2022
20/12/2022,100,110,552,MONCEAU,73671,AUTRE TITRE,526,2022
20/12/2022,100,110,552,MONCEAU,73671,FGT,36,2022
20/12/2022,100,110,552,MONCEAU,73671,IMAGINE R,528,2022
20/12/2022,100,110,552,MONCEAU,73671,NAVIGO,2487,2022
20/12/2022,100,110,552,MONCEAU,73671,NAVIGO JOUR,17,2022
20/12/2022,100,110,552,MONCEAU,73671,NON DEFINI,131,2022
20/12/2022,100,110,552,MONCEAU,73671,TST,171,2022
20/12/2022,100,110,555,MONTGALLET,71631,?,52,2022
20/12/2022,100,110,555,MONTGALLET,71631,AMETHYSTE,208,2022
20/12/2022,100,110,555,MONTGALLET,71631,AUTRE TITRE,379,2022
20/12/2022,100,110,555,MONTGALLET,71631,FGT,138,2022
20/12/2022,100,110,555,MONTGALLET,71631,IMAGINE R,565,2022
20/12/2022,100,110,555,MONTGALLET,71631,NAVIGO,2048,2022
20/12/2022,100,110,555,MONTGALLET,71631,NAVIGO JOUR,5,2022
20/12/2022,100,110,555,MONTGALLET,71631,NON DEFINI,120,2022
20/12/2022,100,110,555,MONTGALLET,71631,TST,195,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,?,529,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,AMETHYSTE,748,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,AUTRE TITRE,6656,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,FGT,802,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,IMAGINE R,8950,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,NAVIGO,26693,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,NAVIGO JOUR,252,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,NON DEFINI,1587,2022
20/12/2022,100,110,562,MONTPARNASSE,74040,TST,2051,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,?,48,2022
