Département;Département commune;Libellé de commune;Arrondissement;Canton ville;Zone d'emploi;Unité urbaine;Population 2010;Taxi;Aéroport;Aéroport nombre de passagers;Gare avec train TAGV (train à grande vitesse);Gare sous convention avec l’État;Gare sous convention avec les conseils régionaux ou les STIF;Agence de voyage;Hôtel homologué;Hôtel homologué - nombre de chambres;Camping homologué;Camping homologué - nombre d'emplacements;Information Touristique;geo_point_2d;geo_shape
91;91457;['La Norville'];913;9101;1116;851;4075;5;0;0;0;0;1;0;0;0;0;0;0;48.58142252939523, 2.265691278731407;"{""coordinates"": [[[2.28164512415866, 48.57251122478778], [2.267843319155169, 48.575584612298584], [2.25918689410627, 48.57323711062458], [2.241596210061337, 48.57853275596378], [2.257901584497975, 48.59124753101111], [2.266824521083078, 48.59220239231404], [2.280903440968066, 48.583094718296856], [2.290435266292618, 48.58106493191001], [2.28164512415866, 48.57251122478778]]], ""type"": ""Polygon""}"
91;91511;['Pussay'];911;9117;1114;91000;1963;1;0;0;0;0;0;0;0;0;0;0;0;48.35013903683106, 1.997583933789665;"{""coordinates"": [[[1.982344482934487, 48.3283170648452], [1.970619969727001, 48.339993859837925], [1.975622354317673, 48.356880955725686], [1.9873559665055982, 48.36381102170101], [1.9899863594000782, 48.36675768662525], [2.010068390940993, 48.364443832122795], [2.01593171146473, 48.370044148696515], [2.024726860612255, 48.36981994045935], [2.027992314909953, 48.361182152638264], [2.026253413706293, 48.35446467754277], [2.012475461484551, 48.351300430670236], [2.014172236478246, 48.33782703359287], [1.982344482934487, 48.3283170648452]]], ""type"": ""Polygon""}"
91;91514;['Quincy-sous-Sénart'];912;9138;1117;851;8048;5;0;0;0;0;0;0;0;0;0;0;0;48.67033273139643, 2.528374049411598;"{""coordinates"": [[[2.533615926617083, 48.65734038343629], [2.51815073639635, 48.66037311725063], [2.504247097460525, 48.67181155368668], [2.518174560650177, 48.675475573290946], [2.521284434975298, 48.68145163396328], [2.5296391872982102, 48.678327723073444], [2.543107275178428, 48.686772170217935], [2.541233860568675, 48.68043269567252], [2.547570591355319, 48.67177695195624], [2.533615926617083, 48.65734038343629]]], ""type"": ""Polygon""}"
77;77018;['Bailly-Romainvilliers'];775;7743;1102;77301;6516;20;0;0;0;0;0;0;0;0;0;0;0;48.84342849264824, 2.816658281256594;"{""coordinates"": [[[2.803030137156004, 48.82920343684943], [2.8023474862687623, 48.829616009618206], [2.796167202782693, 48.84252016542104], [2.7983896860184583, 48.856202736080405], [2.814432634017069, 48.855680102440175], [2.834509512037865, 48.859378786853526], [2.829015144242696, 48.843264111051674], [2.837827830066352, 48.8398319291511], [2.841144378260184, 48.83346006709394], [2.832435950371334, 48.83029149069933], [2.812501621724072, 48.831772798976445], [2.803030137156004, 48.82920343684943]]], ""type"": ""Polygon""}"
77;77033;['Bezalles'];773;7723;1108;77000;229;0;0;0;0;0;0;0;0;0;0;0;0;48.66681214826115, 3.240247810809403;"{""coordinates"": [[[3.236473006862096, 48.655032003826726], [3.23021703327031, 48.65565590003425], [3.235664784164505, 48.66548554420233], [3.233892677431609, 48.67914297787406], [3.246690053148032, 48.67967485650577], [3.246685112141233, 48.661352640924484], [3.246153058057142, 48.65504838353487], [3.236473006862096, 48.655032003826726]]], ""type"": ""Polygon""}"
77;77041;['Boissy-aux-Cailles'];774;7703;1105;77000;315;0;0;0;0;0;0;0;0;0;0;0;0;48.31188396346887, 2.492770362336791;"{""coordinates"": [[[2.502591434828553, 48.28752208043458], [2.495436357776014, 48.29275533586427], [2.475200582920742, 48.29655424264136], [2.458810016540943, 48.3103815038612], [2.45866568829277, 48.31392582314185], [2.456022110596931, 48.321741420077885], [2.489320420950956, 48.329753366043235], [2.514819585700517, 48.33144410469308], [2.521177529355295, 48.322247785409196], [2.522495728808872, 48.31375063803327], [2.52168077130576, 48.306945332590196], [2.50759751363259, 48.28850575617569], [2.502591434828553, 48.28752208043458]]], ""type"": ""Polygon""}"
77;77138;['Courtomer'];772;7722;1105;77000;542;0;0;0;0;0;0;0;0;0;0;0;0;48.65807815983311, 2.896241037616865;"{""coordinates"": [[[2.888302915364112, 48.64442945543921], [2.881444777542807, 48.65195151485747], [2.882205094707584, 48.657942801861864], [2.894338202195119, 48.6737758704936], [2.898940801243301, 48.67451742161724], [2.9142425082807, 48.65243836423095], [2.888302915364112, 48.64442945543921]]], ""type"": ""Polygon""}"
77;77149;['Cucharmoy'];773;7725;1108;77000;242;0;0;0;0;0;0;0;0;0;0;0;0;48.589310856737114, 3.179118600651089;"{""coordinates"": [[[3.191239263406633, 48.56665497548528], [3.184531407427759, 48.57082146533113], [3.16558819866267, 48.57273837482214], [3.167690433863875, 48.57735006932355], [3.172587324809459, 48.578287582615445], [3.164643368952036, 48.58696135182343], [3.140189861753834, 48.59949607462335], [3.149271732301855, 48.60738280559295], [3.178980624654504, 48.608466249343714], [3.21592500252496, 48.580987414165], [3.20642907544114, 48.57949304262257], [3.2041295316028098, 48.57036667066224], [3.191239263406633, 48.56665497548528]]], ""type"": ""Polygon""}"
77;77172;['Esmans'];773;7720;1106;77000;886;0;0;0;0;0;0;0;1;63;0;0;0;48.34295198072317, 2.969156533008346;"{""coordinates"": [[[2.9711488074938233, 48.31300970653486], [2.947606571971625, 48.33197657882264], [2.947238996621306, 48.33523335081672], [2.938492506758355, 48.33734343595164], [2.9385645099646043, 48.35658799334784], [2.940032513141221, 48.359593708818856], [2.953882313114851, 48.36109339107121], [2.964446894584054, 48.37042675838928], [2.975564726679596, 48.359759311446695], [2.9945329723868372, 48.35462447522769], [3.000067473463278, 48.33847503909292], [3.004939078607779, 48.33869986171514], [3.005100333979593, 48.33166416482367], [2.9832306167881733, 48.324285470279044], [2.968404864608111, 48.322752931262016], [2.9711488074938233, 48.31300970653486]]], ""type"": ""Polygon""}"
77;77396;['Rupéreux'];773;7729;1108;77000;103;0;0;0;0;0;0;0;0;0;0;0;0;48.6426005298671, 3.326810438834748;"{""coordinates"": [[[3.351445002411717, 48.645933417840695], [3.341959109878226, 48.64422499353196], [3.339154550511951, 48.63455440631493], [3.3252146092002, 48.62543631740718], [3.313070298289265, 48.629930405657205], [3.310523588711777, 48.651264125433386], [3.312402948465337, 48.654533346411114], [3.323740551104083, 48.65694968871346], [3.350584217802205, 48.649147143034966], [3.351445002411717, 48.645933417840695]]], ""type"": ""Polygon""}"
