Code INSEE;Commune;Population municipale;Année
91526;Roinvilliers;91;2012
91635;Vauhallan;1956;2012
91685;Villiers-sur-Orge;3911;2012
93031;Épinay-sur-Seine;55140;2012
93048;Montreuil;103520;2012
93062;Le Raincy;13993;2012
93079;Villetaneuse;12502;2012
95039;Auvers-sur-Oise;6846;2012
95177;Cormeilles-en-Vexin;1186;2012
95211;Ennery;2293;2012
95313;L' Isle-Adam;11918;2012
95500;Pontoise;30164;2012
75108;Paris 8ème arrondissement;38749;2012
77025;Bazoches-lès-Bray;834;2012
77094;Charmentray;270;2012
77150;Cuisy;436;2012
77151;Dagny;334;2012
77153;Dammartin-en-Goële;8464;2012
77173;Étrépilly;851;2012
77181;Ferrières-en-Brie;2288;2012
77206;Giremoutiers;147;2012
77210;La Grande-Paroisse;2652;2012
77227;Hermé;643;2012
77254;Liverdy-en-Brie;1304;2012
77288;Melun;40503;2012
77295;Moisenay;1269;2012
77300;Montceaux-lès-Meaux;605;2012
77339;Noisy-sur-École;1965;2012
77366;Le Plessis-l'Évêque;258;2012
77367;Le Plessis-Placy;276;2012
77379;Provins;12161;2012
77396;Rupéreux;102;2012
77411;Saint-Germain-sous-Doue;485;2012
77413;Saint-Germain-sur-Morin;3541;2012
77444;Sancy-lès-Provins;339;2012
77465;Thoury-Férottes;702;2012
77484;Vaucourtois;217;2012
77494;Vernou-la-Celle-sur-Seine;2691;2012
78262;Galluis;1138;2012
78300;Hargeville;421;2012
78385;Ménerville;208;2012
78460;Oinville-sur-Montcient;1107;2012
78484;Perdreauville;632;2012
78522;Rochefort-en-Yvelines;913;2012
78550;Saint-Germain-de-la-Grange;1835;2012
78624;Triel-sur-Seine;11431;2012
77018;Bailly-Romainvilliers;7368;2013
77036;Boisdon;121;2013
77040;Boissise-le-Roi;3776;2013
77119;Clos-Fontaine;270;2013
77138;Courtomer;522;2013
77200;Garentreville;106;2013
77217;Grisy-Suisnes;2381;2013
77224;Hautefeuille;324;2013
77225;La Haute-Maison;326;2013
77285;Le Mée-sur-Seine;20713;2013
77315;Montry;3403;2013
77353;Paley;442;2013
77356;Passy-sur-Seine;52;2013
77428;Saint-Ouen-en-Brie;858;2013
77457;Solers;1261;2013
77506;Villemer;706;2013
77513;Villenoy;4274;2013
77533;Vulaines-sur-Seine;2650;2013
78030;Auffargis;1966;2013
78049;Bazemont;1519;2013
78472;Orsonville;338;2013
78517;Rambouillet;25926;2013
78576;Saint-Rémy-l'Honoré;1362;2013
78672;Villennes-sur-Seine;5127;2013
91069;Boigneville;400;2013
91180;Courances;346;2013
91204;Écharcon;773;2013
91223;Étampes;24502;2013
91312;Igny;10228;2013
91330;Lardy;5550;2013
91432;Morangis;12456;2013
91433;Morigny-Champigny;4388;2013
91434;Morsang-sur-Orge;21377;2013
92024;Clichy;59255;2013
92063;Rueil-Malmaison;79762;2013
94069;Saint-Maurice;14927;2013
