identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR_FERMETURE;DEA_NUMERO_RUE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON
510170;Les Tilleuls;Dimanche;13 Pl. de Stalingrad;92190;Meudon
520375;Le Drapeau;Dimanche;18 Av. de Paris;94300;Vincennes
510593;Le Balto;Dimanche;48 R. Gabriel Péri;92300;Levallois-Perret
510181;L‘Alliance;Dimanche;52-56 R. de la Croix-Nivert;75015;Paris
520402;Paristar;;88BIS Av. Parmentier;75011;Paris
510595;Le Presse Book;Lundi;12 R. Trébois;92300;Levallois-Perret
510192;Seventeen;Dimanche;17BIS R. Marcel Allegot;92190;Meudon
520410;Le Balto;Lundi;1 R. de Paris;93380;Pierrefitte-sur-Seine
510615;Tabac Place Pereire;;123 Bd Pereire;75017;Paris
510210;La Royale;Dimanche;165 R. du Fbg Poissonnière;75009;Paris
520416;Tabac du Marché;Lundi;56 R. des Héros Nogentais;94130;Nogent-sur-Marne
510617;Civette le Breizh;Dimanche;8 R. Georges Boisseau;92110;Clichy
510225;Le Kennedy;Dimanche;12 Av. de Versailles;75016;Paris
520425;Le Lutecia;Dimanche;36 R. Oberkampf;75011;Paris
510620;Le Drugstore;;112 R. Lauriston;75016;Paris
510231;Tabac du Théâtre;Dimanche;2 Pl. de Stalingrad;92150;Suresnes
520427;Tabac du Centre;Dimanche;64 R. Jules Guesde;93140;Bondy
510627;Le Jouffroy;;47 R. Jouffroy d'Abbans;75017;Paris
510234;Tabac des Ternes;Dimanche;108 Av. des Ternes;75017;Paris
520438;La Rame;;21 R. Philippe de Girard;75010;Paris
510636;Tabac Saint-Germain;;3 Cours l'Ancienne Boulangerie;92130;Issy-les-Moulineaux
510240;Le Valmy;Dimanche;4 Cours Valmy;92800;Puteaux
520439;Le Lutétia;Dimanche;47 R. de la Grange aux belles;75010;Paris
510637;Tabac les Rosiers;Dimanche;56 R. des Rosiers;93400;Saint-Ouen
510245;Tabac de Pigalle;Dimanche;34 R. la Bruyère;75009;Paris
520464;Le Rocher;Lundi;5 Bd  Marx Dormoy;93190;Livry-Gargan
510638;La Cave à Cigares;;27 R. de la Paix;92000;Nanterre
510260;Le Temps de Lire;Dimanche;9 rte du Pavé Blanc;92140;Clamart
520469;Le Tabac de Rivoli;;44 R. de Rivoli;75004;Paris
510641;Tabac de l'Arsenal;Dimanche;74 R. des Bons Raisins;92500;Rueil-Malmaison
510288;L'Ariel;;20 R. des Martyrs;75009;Paris
520472;Le Navigateur;Dimanche;103 Av. Simon Bolivar;75019;Paris
510642;LE SOYOUZ;;167 Bd des Provinces Françaises;92000;Nanterre
510317;La Civette Wagram;Dimanche;8 Av. de Wagram;75008;Paris
520478;Le Pont de Stains;;98 R. Sadi Carnot;93300;Aubervilliers
510645;la Civette de L'Ile;Dimanche;27 Bd du gèn. Leclerc;92000;Nanterre
510333;Le Chaptal;Dimanche;70-72 Bd des Batignolles;75017;Paris
520488;Le Saint-Germain;;120 R. de Bagnolet;75020;Paris
510650;Tabac - Presse;;54 R. Marcel Bontemps;92100;Boulogne-Billancourt
510335;Elysée;Dimanche;5 R. de Miromesnil;75008;Paris
520492;Tabac Le Larzac;;2 Av. de la Résistance;77500;Chelles
510652;la Libération;;8 Av.de la Libération;92230;Gennevilliers
510350;Le Cyrano;;110 R. des Bourguignons;92600;Asnières-sur-Seine
520495;Le Balto;;125 Bd  de Magenta;75010;Paris
510654;Le Renitas;;102 Av. d'Argenteuil;92600;Asnières-sur-Seine
510376;La Civette d'Auteuil;Dimanche;37 R. Chanez;75016;Paris
520509;Café Tabac Le Flach;Dimanche;64 Bd  Voltaire;75011;Paris
510664;Le Chiquito;Dimanche;3 R. de Colombes;92400;Courbevoie
510377;L'Atmosphère;Dimanche;5 R. de l'Abreuvoir;92400;Courbevoie
520516;Tabac La Gascogne;Dimanche;1 Sq. de la Gascogne;75020;Paris
510004;Le Boyard;Dimanche;2 Av. Michelet;93400;Saint-Ouen
520003;Tabac de la Mairie;Mercredi;3 R. de Paris;93230;Romainville
510396;Le Chiquito;Dimanche;112 R. St-Charles;75015;Paris
520520;La Navette de Bry;Samedi;1 Pl. Daguerre;94360;Bry-sur-Marne
510011;Le Tom Tip;Samedi;117 R. Victor Hugo;92300;Levallois-Perret
520009;Tabac d'Eden;Dimanche;82 Bd de Belleville;75020;Paris
510397;Les Jardinsde la Gar;Dimanche;155 Av. Maurice Utrillo;95100;Argenteuil
520522;Tabac de la Poste;;25 R. du Rendez-vous;75012;Paris
510038;L'Ariel;Dimanche;62 R. Baudin;92300;Levallois-Perret
520015;Tabac de l‘Avenue;Dimanche;48 Bd de la Liberté;94170;Le Perreux-sur-Marne
510402;Le Charles X;;100 R. de la Liberté;92150;Suresnes
520537;Tabac Le Reinit;;116 Cour de Vincennes;75012;Paris
510051;Le Clémenceau;Dimanche;276 Av. Georges Clémenceau;92000;Nanterre
520099;L'étoile des Roches;Dimanche;37 Cours des Roches;77186;Noisiel
510409;Royal Clichy;Dimanche;73 Av. de Clichy;75017;Paris
520550;Tabac Le Beau Relais;;129 Av. Jean Jaurès;93300;Aubervilliers
510067;Le Diplomate;Dimanche;117 R. Jean Jaurès;92800;Puteaux
520129;Le Voltigeur;Lundi;78 Av. Marceau;93700;Drancy
510424;Le Calumet;Dimanche;37 Av. Jean Jaurès;92150;Suresnes
520554;Le Terminus;;224 Av. du 8 mai 1945;93440;Dugny
