NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 75116008;LONGCHAMP;48.854833;2.233667;27;20230626;;;;;;;566;9;2464;9;;;;;;;;;;;59;9;35;1;1411;9;83;1;413;9;56;1;255;9;135;9;12.7;9;6.2;9;6.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230627;;;;;;;794;9;2607;9;;;;;;;;;;;83;9;34;1;1337;9;88;1;449;9;58;1;292;9;151;9;13.1;9;4.9;9;5.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230628;;;;;;;496;9;2129;9;;;;;;;;;;;52;9;41;1;1307;9;94;1;508;9;62;1;0;9;322;9;15.6;9;4.4;9;5.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230629;;;;;;;85;9;1324;9;;;;;;;;;;;9;9;50;1;1253;9;88;1;2328;9;72;1;0;9;286;9;18.0;9;4.8;9;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230630;;;;;;;667;9;2513;9;;;;;;;;;;;70;9;33;1;1518;9;88;1;1;9;59;1;315;9;377;9;13.2;9;5.7;9;6.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230701;;;;;;;241;9;1724;9;;;;;;;;;;;25;9;48;1;1650;9;96;1;558;9;71;1;0;9;544;9;15.8;9;4.7;9;4.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230702;;;;;;;399;9;2233;9;;;;;;;;;;;42;9;36;1;1305;9;86;1;451;9;59;1;240;9;291;9;12.4;9;5.6;9;6.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230703;;;;;;;535;9;2365;9;;;;;;;;;;;56;9;35;1;1143;9;77;1;0;9;55;1;413;9;0;9;12.5;9;6.0;9;6.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230704;;;;;;;352;9;1820;9;;;;;;;;;;;37;9;42;1;1202;9;95;1;2007;9;72;1;0;9;573;9;14.7;9;3.9;9;4.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230705;;;;;;;393;9;1827;9;;;;;;;;;;;41;9;44;1;1529;9;94;1;2336;9;69;1;0;9;556;9;12.8;9;4.1;9;4.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230706;;;;;;;830;1;2700;1;;;;;;;;;;;87;1;29;1;1748;9;100;1;505;9;62;1;443;9;505;9;12.7;9;4.5;9;4.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
